lims_pedon_id,user_pedon_id,LRR,MLRA,approved_indicators_present,number_approved_indicators_present,has_at_least_one_approved_indicator_present,number_applicable_priority_indicators,number_not_demonstrated,number_insufficient_information,all_applicable_indicators_insufficient_information,interpretation,likely_neon_site_code,areasymbol,mukey,musym,muname,nasis_taxon_name,nasis_taxonomy,match_confidence,match_evidence,selected_cokey,selected_compname,selected_comppct_r,selected_majcompflag,selected_drainagecl,selected_hydricrating,selected_hydric_criteria,ssurgo_hydric_rating,high_confidence_ssurgo_match,ssurgo_hydric_yes,ssurgo_hydric_no,field_indicator_present,has_explicit_negative_morphology_evidence,complete_priority_indicator_evaluation,evidence_class,core_reference_cohort,conflict_flag
32609,S2013TN001001,N,128,,0,False,11,1,10,False,Indicator evidence only; no final hydric/nonhydric label assigned.,,TN001,1887391.0,FoC,"Fullerton-Pailo complex, 5 to 12 percent slopes",Fullerton,"Fine, kaolinitic, thermic Typic Paleudults",EXACT,Unique exact normalized NASIS taxon/component-name match within the intersected map unit.,26465199.0,Fullerton,65.0,Yes,Well drained,No,,no,True,False,True,False,True,False,PARTIAL_NEGATIVE_SUPPORT,False,False
32683,S2014AZ019001,D,40,,0,False,11,0,11,True,Indicator evidence only; no final hydric/nonhydric label assigned.,,AZ667,1416069.0,Ao,"Anthony soils, very gravelly variants",Rillino,,UNMATCHED,No candidate has adequate name or taxonomic agreement.,,,,,,,,,False,False,False,False,False,False,LINKAGE_UNRESOLVED,False,False
32835,S2013VA071001,,,,0,False,0,0,0,False,Indicator evidence only; no final hydric/nonhydric label assigned.,,,,,,,,UNMATCHED,Spatial status: NO_COORDINATES,,,,,,,,,False,False,False,False,False,False,LINKAGE_UNRESOLVED,False,False
32836,S2013VA071002,,,,0,False,0,0,0,False,Indicator evidence only; no final hydric/nonhydric label assigned.,,,,,,,,UNMATCHED,Spatial status: NO_COORDINATES,,,,,,,,,False,False,False,False,False,False,LINKAGE_UNRESOLVED,False,False
32878,S2014AL007001,P,133C,,0,False,12,1,11,False,Indicator evidence only; no final hydric/nonhydric label assigned.,,AL007,2232549.0,MsF,"Maubila-Smithdale complex, 15 to 35 percent slopes",Smithdale,"Fine-loamy, siliceous, subactive, thermic Typic Hapludults",EXACT,Unique exact normalized NASIS taxon/component-name match within the intersected map unit.,26916503.0,Smithdale,35.0,Yes,Well drained,No,,no,True,False,True,False,True,False,PARTIAL_NEGATIVE_SUPPORT,False,False
32922,S2014UT037001,,,,0,False,0,0,0,False,Indicator evidence only; no final hydric/nonhydric label assigned.,,,,,,,,UNMATCHED,Spatial status: NO_COORDINATES,,,,,,,,,False,False,False,False,False,False,LINKAGE_UNRESOLVED,False,False
33023,S2014PR079001,Z,273,,0,False,12,9,3,False,Indicator evidence only; no final hydric/nonhydric label assigned.,,PR787,1379800.0,CeA,"Cartagena clay, 0 to 2 percent slopes",Cartagena,"Fine, mixed, superactive, isohyperthermic Sodic Haplusterts",EXACT,Unique exact normalized NASIS taxon/component-name match within the intersected map unit.,27627145.0,Cartagena,80.0,Yes,Somewhat poorly drained,No,,no,True,False,True,False,True,False,PARTIAL_NEGATIVE_SUPPORT,False,False
33127,S2014MD003001,S,149A,,0,False,10,1,9,False,Indicator evidence only; no final hydric/nonhydric label assigned.,,MD003,137789.0,MaC,"Marr-Dodon complex, 5 to 10 percent slopes",Adelphia,"Fine-loamy, mixed, active, mesic Aquic Hapludults",MEDIUM,No name match; unique candidate supported by at least three taxonomic ranks.,27484447.0,Dodon,35.0,Yes,Moderately well drained,No,,no,False,False,False,False,True,False,LINKAGE_UNRESOLVED,False,False
33204,S2014UT045001,D,28A,,0,False,11,3,8,False,Indicator evidence only; no final hydric/nonhydric label assigned.,,UT611,482173.0,64,"Taylorsflat loam, 1 to 5 percent slopes",Taylorsflat,"Fine-loamy, mixed, superactive, mesic Xeric Haplocalcids",EXACT,Unique exact normalized NASIS taxon/component-name match within the intersected map unit.,26351902.0,Taylorsflat,90.0,Yes,Well drained,No,,no,True,False,True,False,True,False,PARTIAL_NEGATIVE_SUPPORT,False,False
33539,S2014KS161502,H,76,,0,False,11,6,5,False,Indicator evidence only; no final hydric/nonhydric label assigned.,,KS161,1472309.0,4625,"Dwight-Irwin complex, 1 to 3 percent slopes",Konza,"Fine, smectitic, mesic Pachic Udertic Argiustolls",AMBIGUOUS,Multiple plausible candidates remain without a decisive name/taxonomy margin.,,,,,,,,,False,False,False,False,True,False,LINKAGE_UNRESOLVED,False,False
