id,lat,lon,moisture
47,43.14111944,-77.50308333,.2348
46,43.14105556,-77.50297778,.1112
45,43.14120833,-77.50291111,.1715
44,43.14123611,-77.50276389,.3430
48,43.14127222,-77.50266667,.4045
49,43.14135000,-77.50314444,.4435 
41,43.14141667,-77.50310556,.4533
43,43.14147500,-77.50300833,.1691
Water,43.1409263,-77.5011404
