lims_pedon_id,user_pedon_id,LRR,MLRA,approved_indicators_present,number_applicable_priority_indicators,number_not_demonstrated,number_insufficient_information,areasymbol,muname,nasis_taxon_name,nasis_taxonomy,match_confidence,selected_compname,selected_drainagecl,selected_hydricrating,evidence_class
35452,S2016ND059016,F,54,,11,6,5,ND059,"Cabba-Chama-Shambo loams, 9 to 50 percent slopes",Sen,"Fine-silty, mixed, superactive, frigid Typic Haplustolls",AMBIGUOUS,,,,LINKAGE_UNRESOLVED
35453,S2016ND059017,F,54,,11,6,5,ND059,"Temvik-Wilton silt loams, 0 to 3 percent slopes",Wilton,"Fine-silty, mixed, superactive, frigid Pachic Haplustolls",EXACT,Wilton,Well drained,No,PARTIAL_NEGATIVE_SUPPORT
35454,S2016ND059020,F,54,,11,6,5,ND059,"Wabek-Manning complex, 6 to 15 percent slopes",Chama,"Fine-silty, mixed, superactive, frigid Typic Calciustolls",EXACT,Chama,Well drained,No,PARTIAL_NEGATIVE_SUPPORT
35455,S2016ND059021,F,54,,11,3,8,ND059,"Cabba-Chama-Sen silt loams, 9 to 15 percent slopes",Farnuf,"Fine-loamy, mixed, superactive, frigid Typic Argiustolls",AMBIGUOUS,,,,LINKAGE_UNRESOLVED
35456,S2016ND059022,F,54,,11,1,10,ND059,"Grail silty clay loam, 0 to 2 percent slopes",Cabba,"Loamy, mixed, superactive, calcareous, frigid Typic Ustorthents",UNMATCHED,,,,LINKAGE_UNRESOLVED
35457,S2016ND059023,F,54,,11,6,5,ND059,"Regent-Janesburg complex, 3 to 6 percent slopes",Janesburg,"Fine, smectitic, frigid Typic Natrustolls",EXACT,Janesburg,Well drained,No,PARTIAL_NEGATIVE_SUPPORT
35458,S2016ND059024,F,54,,11,3,8,ND059,"Temvik-Wilton silt loams, 0 to 3 percent slopes",Wilton,"Fine-silty, mixed, superactive, frigid Pachic Haplustolls",EXACT,Wilton,Well drained,No,PARTIAL_NEGATIVE_SUPPORT
35459,S2016ND059027,F,54,,11,3,8,ND059,"Amor-Cabba loams, 6 to 9 percent slopes",Grail,"Fine, smectitic, frigid Pachic Vertic Argiustolls",MEDIUM,Regent,Well drained,No,LINKAGE_UNRESOLVED
35461,S2016ND059029,F,54,,11,3,8,ND059,"Cabba-Chama-Shambo loams, 9 to 50 percent slopes",Amor,"Fine-loamy, mixed, superactive, frigid Typic Haplustolls",EXACT,Amor,Well drained,No,PARTIAL_NEGATIVE_SUPPORT
35460,S2016ND059030,F,54,,11,6,5,ND059,"Amor-Cabba loams, 9 to 15 percent slopes",Bryant,"Fine-silty, mixed, superactive, frigid Typic Haplustolls",AMBIGUOUS,,,,LINKAGE_UNRESOLVED
37473,S2017ND093001,F,53B,,11,3,8,ND093,"Zahl-Max-Bowbells loams, 6 to 35 percent slopes",Zahl,"Fine-loamy, mixed, superactive, frigid Typic Calciustolls",EXACT,Zahl,Well drained,No,PARTIAL_NEGATIVE_SUPPORT
37474,S2017ND093004,F,55B,,11,1,10,ND093,"Sioux-Arvilla complex, 2 to 6 percent slopes",Sioux,"Sandy or sandy-skeletal, mixed, superactive, frigid Entic Hapludolls",EXACT,Sioux,Excessively drained,No,PARTIAL_NEGATIVE_SUPPORT
37475,S2017ND093007,F,53B,,11,6,5,ND093,"Zahl-Max-Bowbells loams, 6 to 35 percent slopes",Williams,"Fine-loamy, mixed, superactive, frigid Typic Argiustolls",AMBIGUOUS,,,,LINKAGE_UNRESOLVED
37476,S2017ND093010,F,53B,,11,6,5,ND093,"Zahl-Max-Parnell complex, 0 to 35 percent slopes",Grail,"Fine, smectitic, frigid Vertic Argiustolls",AMBIGUOUS,,,,LINKAGE_UNRESOLVED
37477,S2017ND093011,F,53B,,11,6,5,ND093,"Williams-Zahl-Zahill complex, 6 to 9 percent slopes",Bowbells,"Fine-loamy, mixed, superactive, frigid Pachic Argiustolls",EXACT,Bowbells,Moderately well drained,No,PARTIAL_NEGATIVE_SUPPORT
37478,S2017ND093014,F,53B,,11,3,8,ND093,"Zahl-Max-Bowbells loams, 6 to 35 percent slopes",Arnegard,"Fine-loamy, mixed, superactive, frigid Pachic Haplustolls",AMBIGUOUS,,,,LINKAGE_UNRESOLVED
37479,S2017ND093016,F,53B,,11,6,5,ND093,"Zahl-Max-Bowbells loams, 6 to 35 percent slopes",Bowbells,"Fine-loamy, mixed, superactive, frigid Pachic Argiustolls",EXACT,Bowbells,Moderately well drained,No,PARTIAL_NEGATIVE_SUPPORT
37480,S2017ND093020,F,55B,,11,1,10,ND093,"Barnes-Buse-Langhei loams, 6 to 9 percent slopes",Aastad,"Fine-loamy, mixed, superactive, frigid Pachic Argiudolls",AMBIGUOUS,,,,LINKAGE_UNRESOLVED
37481,S2017ND093022,F,53B,,11,1,10,ND093,"Parnell silty clay loam, 0 to 1 percent slopes, Missouri Coteau",Badger,"Fine, smectitic, frigid Vertic Argiaquolls",MEDIUM,Parnell,Very poorly drained,Yes,LINKAGE_UNRESOLVED
37482,S2017ND093023,F,53B,,11,6,5,ND093,"Zahl-Max-Bowbells loams, 6 to 35 percent slopes",Williams,"Fine-loamy, mixed, superactive, frigid Typic Argiustolls",AMBIGUOUS,,,,LINKAGE_UNRESOLVED
37483,S2017ND093027,F,53B,,11,3,8,ND093,"Zahl-Max-Bowbells loams, 6 to 35 percent slopes",Bowbells,"Fine-loamy, superactive, frigid Pachic Argiustolls",EXACT,Bowbells,Moderately well drained,No,PARTIAL_NEGATIVE_SUPPORT
37484,S2017ND093029,F,53B,,11,3,8,ND093,"Zahl-Max-Bowbells loams, 6 to 35 percent slopes",Grail,"Fine, smectitic, nonacid, frigid Pachic Vertic Argiustolls",AMBIGUOUS,,,,LINKAGE_UNRESOLVED
37485,S2017ND093030,F,55B,,11,1,10,ND093,"Sioux-Arvilla complex, 0 to 2 percent slopes",Renshaw,"Fine-loamy over sandy or sandy-skeletal, mixed, superactive, frigid Calcic Hapludolls",AMBIGUOUS,,,,LINKAGE_UNRESOLVED
37486,S2017ND093063,F,53B,,11,1,10,ND093,"Parnell silty clay loam, 0 to 1 percent slopes, Missouri Coteau",Parnell,"Fine, smectitic, frigid Vertic Argiaquolls",EXACT,Parnell,Very poorly drained,Yes,SSURGO_POSITIVE_MORPH_NOT_DEMONSTRATED
