wavenumber_cm1,hydric_mean_absorbance,nonhydric_mean_absorbance,hydric_median_absorbance,nonhydric_median_absorbance,mean_difference_hydric_minus_nonhydric,median_difference_hydric_minus_nonhydric,hydric_sd,nonhydric_sd,standardized_mean_difference
4000.0,0.21550403307233607,0.24280517026024118,0.22845270583354943,0.23617115348716622,-0.02730113718790511,-0.007718447653616789,0.05883595518563469,0.026160469860965062,-0.7663706036983612
3998.0,0.21585266964392197,0.24310263034755458,0.22877572228041337,0.23641715623719867,-0.027249960703632614,-0.007641433956785293,0.0588778817155296,0.02618729854579926,-0.7642875593061762
3996.0,0.21616033408175223,0.2433665633199335,0.2290617100248378,0.236619663457799,-0.02720622923818128,-0.007557953432961201,0.058914185700964385,0.02621247005314719,-0.7624789484731246
3994.0,0.2164865044827354,0.24364062604193137,0.22936128575947234,0.2368386145651306,-0.02715412155919597,-0.007477328805658268,0.05895131161411681,0.02623760746174319,-0.7604328386206723
3992.0,0.2168253098972782,0.2439318359486404,0.22966198342243493,0.2370930666745311,-0.027106526051362212,-0.0074310832520961545,0.05898597872260219,0.026266251266910793,-0.7584910730149237
3990.0,0.2171653816288223,0.24422496096970592,0.22995286139299254,0.23736085741712515,-0.027059579340883627,-0.007407996024132613,0.05903575696687599,0.02630459678758577,-0.756340419032992
3988.0,0.21747100177079712,0.2444829843886925,0.23018663062416062,0.23760680094347447,-0.02701198261789539,-0.007420170319313857,0.05908516855524622,0.026349844751752893,-0.754094586308202
3986.0,0.21766370263571355,0.2446264952468162,0.23030004964972958,0.2377352651269633,-0.026962792611102654,-0.00743521547723372,0.05912319249122478,0.026383244138690875,-0.7520368714051342
3984.0,0.21784278376976926,0.2447633827699637,0.23042236712470832,0.23784093725693545,-0.026920599000194445,-0.007418570132227131,0.05915733882123728,0.02640452932485297,-0.7503531234478269
3982.0,0.2182051846710673,0.24507967264316108,0.23076224095285996,0.23811853412738332,-0.02687448797209377,-0.007356293174523354,0.05920422340361397,0.026427128571796306,-0.7484544244182995
3980.0,0.21863468673742936,0.24545617318470608,0.23116600887472713,0.23845386016276815,-0.02682148644727672,-0.0072878512880410196,0.05924499060548074,0.02645491081483467,-0.7463486325948617
3978.0,0.21890224401221667,0.2456796176006671,0.23139914603761452,0.23863273931040024,-0.02677737358845042,-0.007233593272785721,0.05926508825674955,0.02647922696106962,-0.7446837143370474
3976.0,0.21907219940783293,0.24581486570428723,0.2315652711419697,0.23871953298790258,-0.026742666296454304,-0.007154261845932874,0.05928229811522337,0.026498778241149788,-0.7433600534154265
3974.0,0.21930900473422485,0.24600712335397532,0.23181293882323656,0.23886858463917737,-0.026698118619750466,-0.007055645815940814,0.059320002704787385,0.026521091399911788,-0.7415846635175173
3972.0,0.21962159532229544,0.24625925124351183,0.23209976466287446,0.23908873854037574,-0.02663765592121639,-0.0069889738775012755,0.059369078989579216,0.02654639112479769,-0.7392535079524877
3970.0,0.21993375411327917,0.2465107087790574,0.23235540329062335,0.23931585735230826,-0.026576954665778224,-0.006960454061684912,0.05941334449905007,0.02657231715360895,-0.7369464890106814
3968.0,0.22023033022385158,0.24675319451205208,0.23258941073678643,0.23953533656812775,-0.0265228642882005,-0.006945925831341321,0.05945249565507388,0.0265990093395573,-0.7348535425041854
3966.0,0.22047547548107088,0.2469585666289973,0.23278211821561726,0.2397191176737481,-0.026483091147926408,-0.006936999458130838,0.05948335164520322,0.02662050218413833,-0.7332801153093356
3964.0,0.22059267044334976,0.24705664282635467,0.2329008958128079,0.23978940751231528,-0.026463972383004908,-0.0068885116995073825,0.05949889505109396,0.026629412509277972,-0.7325362608499033
3962.0,0.22065792042561355,0.24709909016303389,0.23300475447366104,0.23979703852974577,-0.026441169737420334,-0.00679228405608473,0.0595131094707863,0.026641588132172822,-0.7316617520381621
3960.0,0.22082853468221578,0.24722440155952652,0.23317353010873682,0.23989102248627178,-0.026395866877310742,-0.006717492377534967,0.05954287897919314,0.0266678243317558,-0.7298912872804194
3958.0,0.2210765753509186,0.24742270179601092,0.23337516533489586,0.2400623104689631,-0.02634612644509232,-0.006687145134067235,0.0595809020526572,0.026696336920355827,-0.7279164700842147
3956.0,0.2212880469585327,0.24759297241782516,0.23354277242534394,0.24020800797636516,-0.026304925459292444,-0.00666523555102122,0.05961301169804083,0.02671754427413535,-0.7263070042529067
3954.0,0.22139217152879684,0.24767218852086584,0.23365935785917627,0.24025194601661387,-0.026280016992069,-0.006592588157437601,0.05962725794961616,0.026728515245629008,-0.7253924040552728
3952.0,0.2212750336762578,0.2475759711561646,0.2336669180999839,0.24001146841343834,-0.026300937479906777,-0.006344550313454433,0.05961689563200425,0.026728562406304585,-0.726041262711558
3950.0,0.22100877371390348,0.24735499379702466,0.23358537723423786,0.2395600093206673,-0.02634622008312118,-0.005974632086429427,0.05960391453516606,0.02673479499824938,-0.7273086850172963
3948.0,0.22098428191972044,0.2473224242274476,0.23362258010069953,0.2393931659545452,-0.026338142307727158,-0.005770585853845683,0.05962324513059433,0.026762997445325856,-0.7266217077957179
3946.0,0.22120905984153572,0.24750744661276713,0.23380263037267113,0.2395410076043163,-0.02629838677123142,-0.005738377231645164,0.059642742250036476,0.026782948122763293,-0.7251571821061925
3944.0,0.22123642954109415,0.24753997360480945,0.23389949561835627,0.23946325657246564,-0.026303544063715295,-0.005563760954109376,0.05963126508458358,0.02678734151885096,-0.7253276241432965
3942.0,0.22134101807353862,0.24760699081804088,0.23404056482725005,0.23944307935271275,-0.026265972744502264,-0.005402514525462698,0.059656324346302116,0.026824343965772216,-0.723687770821182
3940.0,0.22193295671528798,0.24807120779448907,0.23441892616579638,0.2400201607069707,-0.02613825107920109,-0.00560123454117431,0.059717620964985986,0.026876267464927554,-0.7191481040299502
3938.0,0.2224219177733069,0.24847542618961663,0.23469166751792836,0.24054476342487208,-0.02605350841630974,-0.005853095906943717,0.059732147269516596,0.026897081137321564,-0.7164779645058287
3936.0,0.22225655351800092,0.24834838909556473,0.23457287549714545,0.24032055754831447,-0.02609183557756381,-0.005747682051169017,0.05967460047036392,0.026885760294501664,-0.7180554646115433
3934.0,0.22157504161762193,0.24780226129482738,0.23425018971900585,0.2394414727691327,-0.026227219677205454,-0.005191283050126838,0.059597059710753256,0.026861331163492153,-0.722598162683638
3932.0,0.22109525235026006,0.24740610612840364,0.23414943296897608,0.23869153048208205,-0.026310853778143573,-0.004542097513105969,0.05957651076586411,0.026873418577917255,-0.7249031694938016
3930.0,0.22145222256301494,0.24768581172446605,0.23449123181886533,0.23892290081461853,-0.026233589161451104,-0.004431668995753202,0.05962056677905597,0.026917299932612118,-0.721961314492651
3928.0,0.22203269773399015,0.2481846536686544,0.234888109567021,0.23952989517759915,-0.02615195593466424,-0.004641785610578153,0.059642178447876865,0.026941244135733625,-0.7192897309470291
3926.0,0.2220596418530368,0.2482379476448139,0.23498175464477758,0.23951237399598657,-0.0261783057917771,-0.004530619351208992,0.05961331943603559,0.026938304428440595,-0.7202459526388312
3924.0,0.22187869696294032,0.24808078278616005,0.23495621968514552,0.2391958731157733,-0.02620208582321973,-0.004239653430627793,0.0595981580196646,0.0269569753988262,-0.7207873029216137
3922.0,0.22189414551648684,0.24809058339323495,0.23501891853036802,0.23912368120336425,-0.026196437876748108,-0.004104762672996226,0.05959398463609679,0.026987490507794025,-0.7203063653318162
3920.0,0.22171545660639555,0.24797795575421566,0.23499034972595423,0.2388560388460521,-0.026262499147820112,-0.0038656891200978816,0.059567714188747053,0.027002034531413806,-0.722133489248877
3918.0,0.2214426017599079,0.2477669372250144,0.23490582488553338,0.23842848376466808,-0.026324335465106485,-0.0035226588791346936,0.05956631589336034,0.027033240966643696,-0.7234793679587423
3916.0,0.22186718241284717,0.24807443812272814,0.23516136256747439,0.23877767028690539,-0.026207255709880972,-0.003616307719431,0.05962964240173765,0.0270855891496672,-0.7192232201166455
3914.0,0.2229167242404758,0.24888995031219052,0.23573284529247965,0.2398969162332578,-0.025973226071714733,-0.004164070940778142,0.05970501361354432,0.027132052315987424,-0.7117607528827828
3912.0,0.22372176753296585,0.2495365715735529,0.23618833029126113,0.24076887535584468,-0.025814804040587058,-0.004580545064583552,0.05974325983496849,0.02715552738721656,-0.7068972792010619
3910.0,0.22389363567987722,0.24969340147072738,0.23634817286402454,0.24090309794219372,-0.025799765790850165,-0.004554925078169181,0.05973739438710528,0.027141654091122316,-0.7066821652629068
3908.0,0.2232076278325123,0.2491913853059373,0.23611184547575836,0.24004166181617842,-0.02598375747342499,-0.003929816340420056,0.05965117749048541,0.02707707243614862,-0.71304218801734
3906.0,0.22131742145749814,0.24772295357636842,0.2352948977189643,0.23771618825544055,-0.026405532118870284,-0.002421290536476245,0.059506830380612406,0.027036519194499092,-0.7260815477190603
3904.0,0.21901539218101013,0.24585219713745962,0.2342769671922883,0.23477539080041052,-0.026836804956449495,-0.0004984236081222171,0.05944794685655288,0.02715380196546159,-0.7369539703363671
3902.0,0.2180597343933918,0.24502191749313587,0.23392487199962664,0.23338566998615512,-0.026962183099744075,0.0005392020134715181,0.059516286593501624,0.027293655650391435,-0.7382502965787237
3900.0,0.21907929932175624,0.24579330022676188,0.23452008755464065,0.23437134227979114,-0.02671400090500564,0.00014874527484950995,0.05964129581546238,0.027300610783740697,-0.7305145982749032
3898.0,0.2213817409165625,0.24761647428260677,0.2357066686068519,0.23692753900679794,-0.02623473336604426,-0.0012208703999460335,0.05978632299800522,0.027255823755614708,-0.7169484522592509
3896.0,0.22335630521749966,0.24922215609784248,0.23671650703133512,0.2392086336083299,-0.025865850880342822,-0.0024921265769947687,0.059854983595352296,0.027217886064035288,-0.7068417210217784
3894.0,0.22353418779005554,0.2494198683552976,0.23686176728406905,0.23941332226693146,-0.02588568056524207,-0.002551554982862414,0.05979150176808204,0.02715887941027691,-0.7084775568737423
3892.0,0.22260110926310994,0.24866778017582233,0.23649322021923663,0.23815485103784798,-0.026066670912712392,-0.0016616308186113427,0.05976914884471199,0.027182703092133022,-0.7133084354484553
3890.0,0.22267641814882028,0.24869735888319938,0.23664594189784804,0.23802831594503499,-0.026020940734379105,-0.0013823740471869406,0.05985404824249656,0.02725434800925902,-0.7106701838245391
3888.0,0.2228258145277961,0.24884858125654646,0.23676580630901575,0.23816827576730223,-0.02602276672875037,-0.0014024694582864816,0.05983474094294172,0.02726210456007638,-0.7107605237768218
3886.0,0.22173834821442467,0.2479672846888596,0.23618701112516924,0.23683038970500547,-0.026228936474434916,-0.0006433785798362346,0.05976450165143602,0.027302960944117095,-0.7163939260741953
3884.0,0.221577417685156,0.24777851340704743,0.23620890598182023,0.236403329714391,-0.026201095721891443,-0.00019442373257075318,0.0598175259949242,0.02734863137206574,-0.7147528167978665
3882.0,0.22244351627681475,0.24851707441237023,0.23695756836884435,0.2372283717222104,-0.02607355813555548,-0.0002708033533660448,0.059869892933309035,0.027317258496681877,-0.7112827752251577
3880.0,0.2232712300454754,0.24921580596224532,0.23765427421947505,0.23799850904325087,-0.025944575916769935,-0.00034423482377582415,0.05996256627052014,0.027343772572185166,-0.7068489005871634
3878.0,0.22470741909297853,0.2503770652448328,0.23851202474967723,0.23953459443430425,-0.025669646151854242,-0.0010225696846270227,0.060074720085185926,0.02737776579793279,-0.6982444129049685
3876.0,0.2253453828577503,0.2509463194877457,0.23895789747006757,0.2402409545776273,-0.025600936629995408,-0.001283057107559743,0.06004221794864611,0.02733613130619102,-0.6970514766133712
3874.0,0.22449386783319758,0.2503030336422289,0.23871637783833113,0.2391048820138344,-0.02580916580903131,-0.00038850417550326255,0.05996407941301434,0.02731548071571632,-0.7034685442938694
3872.0,0.22311453488721805,0.2492039958565595,0.23822788773658282,0.2372476516982111,-0.02608946096934145,0.000980236038371718,0.059952476039487786,0.027403343261561595,-0.7101850052640021
3870.0,0.22232567664933028,0.2485690761804126,0.23803263680250555,0.23605031613784733,-0.026243399531082318,0.001982320664658227,0.060025517231145145,0.027545168666029896,-0.7122680680818166
3868.0,0.2230733368014684,0.24916148060549329,0.23854842272013105,0.23671182207377708,-0.026088143804024883,0.0018366006463539641,0.060132140941897144,0.027586641585891088,-0.7068830734190009
3866.0,0.22414287921504167,0.2500529067826327,0.23921513922665683,0.23798293077946187,-0.025910027567591032,0.0012322084471949601,0.06016861543386433,0.027546835261005397,-0.7022653974622244
3864.0,0.22472316635381717,0.2505379447782874,0.23967754336249228,0.23859782077225422,-0.02581477842447022,0.001079722590238058,0.060204641025568516,0.027544702207207016,-0.6994730715778404
3862.0,0.2259758165137853,0.25153639036581354,0.2404468194357302,0.24003404511125176,-0.025560573852028257,0.00041277432447844875,0.060310375961427555,0.02756825468808732,-0.6916445169331499
3860.0,0.2275204954057796,0.2528160070395992,0.24133125900306457,0.2419222745409669,-0.02529551163381963,-0.0005910155379023341,0.06037933627904462,0.027568244523531803,-0.6840336586598026
3858.0,0.22732556571394485,0.2527771085700553,0.24142858211780077,0.2416603364644206,-0.025451542856110454,-0.00023175434661981686,0.06028780994668559,0.027539540351677803,-0.6891541262942795
3856.0,0.22368091463357742,0.25002469943278766,0.24001052849090754,0.2369648306788663,-0.026343784799210235,0.003045697812041226,0.0601411137791665,0.027787649871397656,-0.7114594219146678
3854.0,0.2188583780638939,0.2461719674661397,0.23812418851859724,0.2335403886096002,-0.02731358940224579,0.004583799908997044,0.06036866899363959,0.02866273226543991,-0.7258937802779425
3852.0,0.22021917512315303,0.2471124283737363,0.2390105457998446,0.233723546720249,-0.026893253250583254,0.0052869990795955946,0.06060880375384314,0.02859834069706142,-0.7139152006367357
3850.0,0.22621391418245174,0.25184178497259546,0.24185215897247098,0.23923755983246137,-0.025627870790143725,0.0026145991400096102,0.06068600179575735,0.027985451949670538,-0.6864975294768169
3848.0,0.23017359617528577,0.25505212436998004,0.2436744262669108,0.2443757542934703,-0.02487852819469427,-0.0007013280265595057,0.060708277338253624,0.02781441494251634,-0.6680964359429411
3846.0,0.23105520924962794,0.2558497842813234,0.2441708913487615,0.2456675095734531,-0.024794575031695437,-0.0014966182246916038,0.06063747812178864,0.027765058145559338,-0.6667981840233731
3844.0,0.23041553235917892,0.2554441483920877,0.24419874380998802,0.24460624030987663,-0.025028616032908763,-0.0004074964998886099,0.06056879764014267,0.027753602006711193,-0.6736416814239811
3842.0,0.22925476172537343,0.25460510298348854,0.24411573652716342,0.24286014160543629,-0.02535034125811511,0.0012555949217271378,0.06052804760666081,0.02780633174209311,-0.6819862399742578
3840.0,0.22750670941555923,0.25323913010805627,0.24360448929484424,0.24036375641687113,-0.025732420692497038,0.003240732877973107,0.06050943841081895,0.027989158362835612,-0.6903742302118872
3838.0,0.22621117611523914,0.25214452606627,0.24305634922816058,0.2385063433038977,-0.025933349951030887,0.004550005924262884,0.06061237022107222,0.028263268740651833,-0.6920888536158922
3836.0,0.22756442536465973,0.2532140567677572,0.24382736988659637,0.2400736862785259,-0.025649631403097478,0.0037536836080704628,0.06077409956511175,0.02828452576556611,-0.6832817703042761
3834.0,0.23048099421830437,0.25566972025456963,0.24566038220119263,0.24357892788436608,-0.025188726036265263,0.0020814543168265476,0.060887544435007906,0.02816442337109287,-0.6715869719832622
3832.0,0.23293584222793742,0.25778429615917836,0.24736302563896465,0.24645556863848228,-0.024848453931240938,0.0009074570004823646,0.060982323785070444,0.02812687739514768,-0.6623349267990051
3830.0,0.23474203247844194,0.2593274247030415,0.24860531897682672,0.24884528804621192,-0.024585392224599545,-0.00023996906938519857,0.061059238135814764,0.02814208415994431,-0.6547065834045449
3828.0,0.23583431501781166,0.26027733856464963,0.24942504513847477,0.250161969836817,-0.024443023546837972,-0.0007369246983422173,0.06107390278725974,0.02814655577483305,-0.6507824725444993
3826.0,0.23623932644632378,0.26067372635804326,0.24993961358769207,0.25043273890853557,-0.024434399911719473,-0.0004931253208435016,0.061070752552512916,0.02816073691233037,-0.650426233903379
3824.0,0.23555689291992268,0.2602219900353771,0.2498953539001613,0.24919381996333964,-0.02466509711545442,0.0007015339368216522,0.06100837852649042,0.028188148697463413,-0.656656484798056
3822.0,0.23352319267984104,0.25864265044807916,0.24915495716900615,0.24623633242762563,-0.025119457768238124,0.002918624741380521,0.06095085981076977,0.028356017421305026,-0.6673314411741524
3820.0,0.23284167664933028,0.25804020117376886,0.24908033603662932,0.24494812381061026,-0.025198524524438576,0.004132212226019061,0.06105000167563835,0.02857209954347592,-0.6665549130669708
3818.0,0.23443606950702872,0.25937393084638527,0.25022408911543104,0.24672120019470983,-0.02493786133935655,0.0035028889207212033,0.06116045151429315,0.028605288097925112,-0.6586605090074243
3816.0,0.2363673765620951,0.26106154182979013,0.25167279608504034,0.24897688804770568,-0.024694165267695023,0.00269590803733466,0.061289219047104326,0.028644140472051476,-0.651072400766791
3814.0,0.23925115318562015,0.26347105197957243,0.25354363144344605,0.25266444931579324,-0.024219898793952283,0.0008791821276528111,0.061484904433704024,0.028682796509306607,-0.6370626222420406
3812.0,0.2421334339386366,0.2658996308411352,0.25528872612794334,0.25661965888172744,-0.02376619690249862,-0.0013309327537840976,0.061584990765506956,0.028692569560548137,-0.624473299287061
3810.0,0.2430130574562745,0.2667757164347411,0.2560900297250209,0.2577277922657906,-0.023762658978466578,-0.0016377625407697494,0.0615277305314835,0.02866753448186265,-0.6249453426722981
3808.0,0.24230920424576485,0.26635463282534183,0.2562469709127772,0.2563762499157381,-0.024045428579576977,-0.00012927900296089145,0.061483572839205365,0.028711615006454846,-0.6321955099575782
3806.0,0.24193674103841828,0.26612308119675293,0.2565852535765954,0.2551005549750844,-0.02418634015833465,0.0014846986015110142,0.06153989455948476,0.02882975145695704,-0.6344054998442923
3804.0,0.24199442668692406,0.266258957418065,0.2570858099257976,0.2545220269858596,-0.024264530731140932,0.0025637829399380307,0.06157138688361592,0.028917553772433973,-0.6354039305736069
3802.0,0.2418362878336125,0.2662408709452181,0.2575610884828184,0.2538914833407656,-0.024404583111605593,0.0036696051420527787,0.061633075424091556,0.029069609137381932,-0.6372037655800418
3800.0,0.2431938470762403,0.2673996215520662,0.25877271416793285,0.25517974788826625,-0.024205774475825892,0.0035929662796665984,0.061794562519816895,0.02918213523826199,-0.6300036646486246
3798.0,0.24594702201192636,0.26971049041029305,0.2605595487684729,0.25849306930256677,-0.023763468398366683,0.002066479465906157,0.061931852828895094,0.0291951582389794,-0.6176187488295992
3796.0,0.24852851304893403,0.2719253276298799,0.26229261075908333,0.26194218158708005,-0.02339681458094589,0.00035042917200328594,0.062065535160830944,0.029264378576960647,-0.6067211053789321
3794.0,0.25091007217489153,0.2739685524640785,0.2639412984635807,0.2643162730748091,-0.023058480289186944,-0.0003749746112283736,0.06222613759365578,0.029390124390247244,-0.5959420828769892
3792.0,0.252882082483368,0.2756759478755619,0.2653336801468491,0.2661434303101876,-0.022793865392193857,-0.0008097501633385074,0.06232931794157754,0.02949786151833827,-0.5875912220721345
3790.0,0.254316197261098,0.276976533530906,0.2665438167419407,0.2674278373718571,-0.022660336269808012,-0.0008840206299163822,0.06239122459032105,0.029582948527302023,-0.5830662764098478
3788.0,0.25547021852621976,0.278082011497056,0.26776745843941696,0.26841091731440336,-0.022611792970836264,-0.0006434588749864023,0.06245688900558923,0.029654695075453635,-0.5808410291703953
3786.0,0.2564858948359095,0.2790772110131331,0.2689938483077608,0.2692171265251411,-0.022591316177223597,-0.00022327821738032938,0.0625319112706841,0.02973133939194123,-0.579252011644995
