lims_pedon_id,user_pedon_id,LRR,MLRA,approved_indicators_present,number_approved_indicators_present,has_at_least_one_approved_indicator_present,number_applicable_priority_indicators,number_not_demonstrated,number_insufficient_information,all_applicable_indicators_insufficient_information,interpretation,likely_neon_site_code,areasymbol,mukey,musym,muname,nasis_taxon_name,nasis_taxonomy,match_confidence,match_evidence,selected_cokey,selected_compname,selected_comppct_r,selected_majcompflag,selected_drainagecl,selected_hydricrating,selected_hydric_criteria,ssurgo_hydric_rating,high_confidence_ssurgo_match,ssurgo_hydric_yes,ssurgo_hydric_no,field_indicator_present,has_explicit_negative_morphology_evidence,complete_priority_indicator_evaluation,evidence_class,core_reference_cohort,conflict_flag
34949,S2015ND093031,F,53B,,0,False,11,1,10,False,Indicator evidence only; no final hydric/nonhydric label assigned.,,ND093,2566841.0,C819B,"Lehr-Wabek loams, 2 to 6 percent slopes",Tonka,"Fine, smectitic, frigid Argiaquic Argialbolls",EXACT,Unique exact normalized NASIS taxon/component-name match within the intersected map unit.,27719362.0,Tonka,1.0,No ,Poorly drained,Yes,3; 2,yes,True,True,False,False,True,False,SSURGO_POSITIVE_MORPH_NOT_DEMONSTRATED,False,False
34950,S2015ND093032,F,53B,,0,False,11,3,8,False,Indicator evidence only; no final hydric/nonhydric label assigned.,,ND093,2595591.0,C870E,"Wabek-Lehr-Appam complex, 9 to 25 percent slopes",Roseglen,"Fine-loamy, mixed, superactive, frigid Pachic Haplustolls",AMBIGUOUS,Multiple plausible candidates remain without a decisive name/taxonomy margin.,,,,,,,,,False,False,False,False,True,False,LINKAGE_UNRESOLVED,False,False
34951,S2015ND093033,F,53B,,0,False,11,6,5,False,Indicator evidence only; no final hydric/nonhydric label assigned.,,ND093,2566841.0,C819B,"Lehr-Wabek loams, 2 to 6 percent slopes",Tansem,"Coarse-loamy, mixed, active, frigid Typic Haplustolls",AMBIGUOUS,Multiple plausible candidates remain without a decisive name/taxonomy margin.,,,,,,,,,False,False,False,False,True,False,LINKAGE_UNRESOLVED,False,False
34952,S2015ND093034,F,53B,F2,1,True,11,2,8,False,Indicator evidence only; no final hydric/nonhydric label assigned.,,ND093,3312344.0,C26A,"Tonka-Parnell complex, 0 to 1 percent slopes, Missouri Coteau",Zahl,"Coarse-loamy, mixed, superactive, frigid Typic Calciustolls",AMBIGUOUS,Multiple plausible candidates remain without a decisive name/taxonomy margin.,,,,,,,,,False,False,False,True,True,False,MORPH_POSITIVE_SSURGO_UNRESOLVED,False,False
35444,S2016ND059001,F,54,,0,False,11,3,8,False,Indicator evidence only; no final hydric/nonhydric label assigned.,NOGP,ND059,2699195.0,E1823A,"Parshall fine sandy loam, 0 to 2 percent slopes",Parshall,"Coarse-loamy, mixed, superactive, frigid Pachic Haplustolls",EXACT,Unique exact normalized NASIS taxon/component-name match within the intersected map unit.,27699832.0,Parshall,68.0,Yes,Well drained,No,,no,True,False,True,False,True,False,PARTIAL_NEGATIVE_SUPPORT,False,False
35445,S2016ND059003,F,54,,0,False,11,3,8,False,Indicator evidence only; no final hydric/nonhydric label assigned.,NOGP,ND059,2699207.0,E0837C,"Wyola silty clay loam, 6 to 9 percent slopes",Savage,"Fine, smectitic, frigid Vertic Argiustolls",EXACT,Unique exact normalized NASIS taxon/component-name match within the intersected map unit.,27699593.0,Wyola,69.0,Yes,Well drained,No,,no,True,False,True,False,True,False,PARTIAL_NEGATIVE_SUPPORT,False,False
35446,S2016ND059005,F,54,,0,False,11,8,3,False,Indicator evidence only; no final hydric/nonhydric label assigned.,NOGP,ND059,2520776.0,E3755A,"Temvik-Wilton silt loams, 0 to 3 percent slopes",Temvik,"Fine-silty, mixed, superactive, frigid Typic Haplustolls",EXACT,Unique exact normalized NASIS taxon/component-name match within the intersected map unit.,27700237.0,Temvik,51.0,Yes,Well drained,No,,no,True,False,True,False,True,False,PARTIAL_NEGATIVE_SUPPORT,False,False
35447,S2016ND059007,F,54,,0,False,11,6,5,False,Indicator evidence only; no final hydric/nonhydric label assigned.,NOGP,ND059,2699155.0,E2617F,"Cabba-Chama-Shambo loams, 9 to 50 percent slopes",Golva,"Fine-silty, mixed, superactive, frigid Typic Haplustolls",AMBIGUOUS,Multiple plausible candidates remain without a decisive name/taxonomy margin.,,,,,,,,,False,False,False,False,True,False,LINKAGE_UNRESOLVED,False,False
35448,S2016ND059008,F,54,,0,False,11,3,8,False,Indicator evidence only; no final hydric/nonhydric label assigned.,NOGP,ND059,1718353.0,E2601D,"Amor-Cabba loams, 9 to 15 percent slopes",Savage,"Fine, smectitic, frigid Vertic Argiustolls",AMBIGUOUS,Multiple plausible candidates remain without a decisive name/taxonomy margin.,,,,,,,,,False,False,False,False,True,False,LINKAGE_UNRESOLVED,False,False
35449,S2016ND059011,F,54,,0,False,11,6,5,False,Indicator evidence only; no final hydric/nonhydric label assigned.,NOGP,ND059,2759666.0,E1025C,"Regent-Wyola silty clay loams, 6 to 9 percent slopes",Morton,"Fine-silty, mixed, superactive, frigid Typic Argiustolls",AMBIGUOUS,Multiple plausible candidates remain without a decisive name/taxonomy margin.,,,,,,,,,False,False,False,False,True,False,LINKAGE_UNRESOLVED,False,False
