lims_pedon_id,user_pedon_id,MLRA,nasis_taxon_name,nasis_taxonomy,match_confidence,selected_compname,selected_drainagecl,selected_hydricrating,approved_indicators_present,n_horizons,n_moist_color_horizons,n_redox_horizons,n_low_chroma_horizons_0_30cm,n_low_chroma_horizons_0_50cm,max_redox_pct,mentions_depletion,mentions_gley,mentions_reduced,mentions_muck,mentions_peat,mentions_h2s,aquic_taxonomy
35460,S2016ND059030,54,Bryant,"Fine-silty, mixed, superactive, frigid Typic Haplustolls",AMBIGUOUS,,,,,8,8,1,2,3,4.0,False,False,False,False,False,False,False
37473,S2017ND093001,53B,Zahl,"Fine-loamy, mixed, superactive, frigid Typic Calciustolls",EXACT,Zahl,Well drained,No,,3,3,0,2,3,,False,False,False,False,False,False,False
37474,S2017ND093004,55B,Sioux,"Sandy or sandy-skeletal, mixed, superactive, frigid Entic Hapludolls",EXACT,Sioux,Excessively drained,No,,3,0,0,1,1,,False,False,False,False,False,False,False
37475,S2017ND093007,53B,Williams,"Fine-loamy, mixed, superactive, frigid Typic Argiustolls",AMBIGUOUS,,,,,4,4,1,1,2,3.0,False,False,False,False,False,False,False
37476,S2017ND093010,53B,Grail,"Fine, smectitic, frigid Vertic Argiustolls",AMBIGUOUS,,,,,5,5,1,2,3,15.0,False,False,False,False,False,False,False
37477,S2017ND093011,53B,Bowbells,"Fine-loamy, mixed, superactive, frigid Pachic Argiustolls",EXACT,Bowbells,Moderately well drained,No,,4,4,2,2,2,15.0,True,False,False,False,False,False,False
37478,S2017ND093014,53B,Arnegard,"Fine-loamy, mixed, superactive, frigid Pachic Haplustolls",AMBIGUOUS,,,,,4,4,1,1,2,2.0,False,False,False,False,False,False,False
37479,S2017ND093016,53B,Bowbells,"Fine-loamy, mixed, superactive, frigid Pachic Argiustolls",EXACT,Bowbells,Moderately well drained,No,,4,4,2,2,2,4.0,False,False,True,False,False,False,False
37480,S2017ND093020,55B,Aastad,"Fine-loamy, mixed, superactive, frigid Pachic Argiudolls",AMBIGUOUS,,,,,4,0,0,0,0,,False,False,False,False,False,False,False
37481,S2017ND093022,53B,Badger,"Fine, smectitic, frigid Vertic Argiaquolls",MEDIUM,Parnell,Very poorly drained,Yes,,4,0,3,2,2,10.0,False,False,False,False,False,False,True
37482,S2017ND093023,53B,Williams,"Fine-loamy, mixed, superactive, frigid Typic Argiustolls",AMBIGUOUS,,,,,4,3,2,1,1,5.0,False,False,False,False,False,False,False
37483,S2017ND093027,53B,Bowbells,"Fine-loamy, superactive, frigid Pachic Argiustolls",EXACT,Bowbells,Moderately well drained,No,,5,5,0,2,2,,False,False,False,False,False,False,False
37484,S2017ND093029,53B,Grail,"Fine, smectitic, nonacid, frigid Pachic Vertic Argiustolls",AMBIGUOUS,,,,,5,5,0,2,3,,False,False,False,False,False,False,False
37485,S2017ND093030,55B,Renshaw,"Fine-loamy over sandy or sandy-skeletal, mixed, superactive, frigid Calcic Hapludolls",AMBIGUOUS,,,,,4,0,0,1,1,,False,False,False,False,False,False,False
37486,S2017ND093063,53B,Parnell,"Fine, smectitic, frigid Vertic Argiaquolls",EXACT,Parnell,Very poorly drained,Yes,,5,0,4,2,3,85.0,False,False,True,False,False,False,True
