wavenumber_cm1,hydric_mean_absorbance,nonhydric_mean_absorbance,hydric_median_absorbance,nonhydric_median_absorbance,mean_difference_hydric_minus_nonhydric,median_difference_hydric_minus_nonhydric,hydric_sd,nonhydric_sd,standardized_mean_difference,abs_standardized_difference
4000.0,0.21550403307233607,0.24280517026024118,0.22845270583354943,0.23617115348716622,-0.02730113718790511,-0.007718447653616789,0.05883595518563469,0.026160469860965062,-0.7663706036983612,0.7663706036983612
3980.0,0.21863468673742936,0.24545617318470608,0.23116600887472713,0.23845386016276815,-0.02682148644727672,-0.0072878512880410196,0.05924499060548074,0.02645491081483467,-0.7463486325948617,0.7463486325948617
3902.0,0.2180597343933918,0.24502191749313587,0.23392487199962664,0.23338566998615512,-0.026962183099744075,0.0005392020134715181,0.059516286593501624,0.027293655650391435,-0.7382502965787237,0.7382502965787237
3960.0,0.22082853468221578,0.24722440155952652,0.23317353010873682,0.23989102248627178,-0.026395866877310742,-0.006717492377534967,0.05954287897919314,0.0266678243317558,-0.7298912872804194,0.7298912872804194
3854.0,0.2188583780638939,0.2461719674661397,0.23812418851859724,0.2335403886096002,-0.02731358940224579,0.004583799908997044,0.06036866899363959,0.02866273226543991,-0.7258937802779425,0.7258937802779425
3932.0,0.22109525235026006,0.24740610612840364,0.23414943296897608,0.23869153048208205,-0.026310853778143573,-0.004542097513105969,0.05957651076586411,0.026873418577917255,-0.7249031694938016,0.7249031694938016
3882.0,0.22244351627681475,0.24851707441237023,0.23695756836884435,0.2372283717222104,-0.02607355813555548,-0.0002708033533660448,0.059869892933309035,0.027317258496681877,-0.7112827752251577,0.7112827752251577
2680.0,0.45809392490057094,0.4864212504861265,0.4645569900337566,0.49448411325971864,-0.028327325585555563,-0.029927123225962027,0.04499621960845585,0.03880075119300131,-0.7049313351493818,0.7049313351493818
2700.0,0.4682822807711654,0.4970570811508951,0.47555181929313317,0.5053789253166954,-0.02877480037972968,-0.0298271060235622,0.046620635021524096,0.039954968018316044,-0.694247834899891,0.694247834899891
1272.0,1.4040698370425873,1.4758673155724817,1.4713402792051893,1.4748027315907097,-0.07179747852989449,-0.0034624523855204536,0.1562571463214818,0.08494242932618501,-0.6897071863737546,0.6897071863737546
2660.0,0.45129444526084905,0.47699601313562684,0.4539405574899793,0.4838425180968728,-0.025701567874777786,-0.029901960606893485,0.03999764843515092,0.03749567541363612,-0.6757153721688925,0.6757153721688925
2720.0,0.47894063368092465,0.5076821770612415,0.48708038165474904,0.5163961573118625,-0.02874154338031687,-0.029315775657113463,0.047801663442219214,0.04129041000633282,-0.6724157848871617,0.6724157848871617
3834.0,0.23048099421830437,0.25566972025456963,0.24566038220119263,0.24357892788436608,-0.025188726036265263,0.0020814543168265476,0.060887544435007906,0.02816442337109287,-0.6715869719832622,0.6715869719832622
2740.0,0.49095012261797966,0.5192595852821608,0.4994991521044744,0.5289481409676381,-0.028309462664181106,-0.029448988863163716,0.048459590938726656,0.04260693979512071,-0.6448042998895641,0.6448042998895641
3802.0,0.2418362878336125,0.2662408709452181,0.2575610884828184,0.2538914833407656,-0.024404583111605593,0.0036696051420527787,0.061633075424091556,0.029069609137381932,-0.6372037655800418,0.6372037655800418
1292.0,1.4490373943407087,1.5211717369692144,1.5157676420008193,1.53531176099035,-0.07213434262850571,-0.01954411898953068,0.1766262443871543,0.09239412928791525,-0.6253140401530393,0.6253140401530393
2760.0,0.5036877166931983,0.5313121702441262,0.5123032523813721,0.5418536258173408,-0.027624453550927908,-0.02955037343596867,0.04860580756546487,0.04390534005066676,-0.61475391386215,0.61475391386215
1312.0,1.480537111440957,1.5539364751438611,1.5453540095851201,1.5727846203351292,-0.07339936370290423,-0.027430610750009077,0.19424496002347996,0.098997039308129,-0.5861537149077924,0.5861537149077924
2780.0,0.5182605688458966,0.5450310350291482,0.5266760297587257,0.5546434320407984,-0.02677046618325163,-0.027967402282072618,0.04859802554078754,0.045361596250734895,-0.581185199746143,0.581185199746143
3780.0,0.2587953640090018,0.28140186136171846,0.27197968051760174,0.27111521740877675,-0.022606497352716637,0.0008644631088249866,0.06272222655342985,0.03010620657203336,-0.5753587898705796,0.5753587898705796
