user_pedon_id,lay_id,layer_key,proj_id,lims_site_id,lims_pedon_id,lay_rpt_seq_num,lay_type,top_depth_cm,bottom_depth_cm,horizon_designation,horz_desgn_master,texture_description,texture_desc_abbrev,smp_id,smp_type,smp_condition,smp_status,samples_per_layer,user_site_id,horizontal_datum_name,latitude,longitude,coordinate_source,pedon_key,observation_date_id,pedon_status,lab_proj_name,project_focus,fiscal_year,project_source,proj_type,proj_status,taxon_name,taxonomic_order,taxonomic_suborder,taxonomic_great_group,country,county,state,mir_master_count,mir_scan_count,mir_passed_scan_count,mir_blank_qc_count,mir_first_scan_date,mir_last_scan_date,layer_thickness_cm,layer_midpoint_cm,surface_or_near_surface,depth_class,al_dithionite_pct,al_oxalate_pct,bulk_density_ovendry_g_cm3,bulk_density_third_bar_g_cm3,carbonate_pct,cec_nh4oac_cmol_kg,clay_pct,estimated_organic_carbon_pct,fe_dithionite_pct,fe_oxalate_pct,ph_cacl2,ph_water,sand_pct,silt_pct,total_carbon_pct,total_nitrogen_pct,total_sulfur_pct,water_retention_15bar_pct,water_retention_third_bar_pct,qc_flag_count,user_pedon_id_crosswalk,join_confidence,join_basis,nasis_horizon_row,nasis_user_pedon_id,nasis_nasis_horizon_sequence,nasis_horizon_designation,nasis_top_depth_cm,nasis_bottom_depth_cm,nasis_thickness_cm,nasis_field_texture,nasis_matrix_color_raw,nasis_matrix_color_name,nasis_matrix_munsell,nasis_matrix_hue,nasis_matrix_value,nasis_matrix_chroma,nasis_color_moisture_status,nasis_dry_munsell,nasis_moist_munsell,nasis_redox_raw,nasis_redox_feature_type,nasis_redox_concentration_rendered,nasis_redox_depletion_rendered,nasis_redox_percentages,nasis_redox_percentage_max,nasis_redox_abundance,nasis_redox_size,nasis_redox_contrast,nasis_redox_location,nasis_reduced_matrix_rendered,nasis_gley_rendered,nasis_wetness_morphology_raw,nasis_organic_horizon_or_material_rendered,nasis_raw_horizon_description,lab_fe_dith__analyte_66,lab_fe_mjelm__analyte_671,lab_fe_ox__analyte_60,lab_fe_pyp__analyte_73,lab_mn_dith__analyte_67,lab_mn_kcl__analyte_70,lab_mn_mjelm__analyte_673,lab_mn_ox__analyte_61,lab_mn_pyp__analyte_74,lab_mn_trelm__analyte_685,nasis_drainage_class,nasis_flooding,nasis_ponding,nasis_taxonomy,nasis_current_correlated_soil_name,nasis_certified_lab_pedon_description,nasis_record_origin,reference_group,overlap_0_30_cm,mir_source,n_raw_replicates_used
S2016ND059017,175309,16N04103,4966,29287,35453,40,horizon,0.0,30.0,A,A,Silt loam,SIL,247305,bulk,normal,submitted,1,S2016ND059017,WGS84,46.764807,-100.921602,standardized,16N0925,,not started,C2016USND122,Site_C NEON_10_NOGP,2016,NEON,characterization,completed,Wilton,mollisols,ustolls,haplustolls,United States,Morton,North Dakota,4,4,4.0,0.0,2016-12-13 08:57:54,2016-12-13 08:57:55,30.0,15.0,True,10-30,0.1007503,0.10859633,,,,24.523028,25.0657037,2.84,1.074304,0.12369414,6.09,6.65,18.5,56.4,2.84041757,0.26854857,0.02788774,12.6587302,,0,S2016ND059017,EXACT,Designation and top/bottom depths agree,1300.0,S2016ND059017,1.0,A,0.0,30.0,30.0,silt loam,"very dark grayish brown (10YR 3/2), very dark brown (10YR 2/2), moist",very dark brown,10YR 2/2,10YR,2.0,2.0,moist,10YR 3/2,10YR 2/2,,,,,,,,,,,,,,,"A—0 to 30 centimeters (0.0 to 11.8 inches); very dark grayish brown (10YR 3/2), very dark brown (10YR 2/2), moist; silt loam; 10 percent sand; 68 percent silt; 22 percent clay; moderate medium granular structure; slightly hard, friable, slightly sticky, slightly plastic; 6.0 very fine roots throughout; 5.0 very fine tubular pores; fragments; noneffervescent, by hcl, 1n; clear wavy boundary.; moist when described; observed in pit, small",1.074304,,0.12369414,,0.0607657,,,408.7190737,,,well,none flooding,none ponding,"Fine-silty, mixed, superactive, frigid Pachic Haplustolls",Wilton,no,NASIS,NONHYDRIC_REFERENCE,30.0,EXISTING_PROCESSED_MATRIX,
S2016ND059020,175314,16N04108,4966,29288,35454,45,horizon,0.0,14.0,A,A,Silty clay loam,SICL,247310,bulk,normal,submitted,1,S2016ND059020,WGS84,46.800505,-100.919598,standardized,16N0926,,not started,C2016USND122,Site_C NEON_10_NOGP,2016,NEON,characterization,completed,Chama,mollisols,ustolls,calciustolls,United States,Morton,North Dakota,4,4,4.0,0.0,2016-12-13 08:57:58,2016-12-13 08:57:59,14.0,7.0,True,0-10,0.1245307,0.16008897,1.43237646,1.21064393,1.036938,39.1238365,47.6804834,2.6752,1.4022013,0.2618772,7.2,7.56,5.7,46.6,2.79666351,0.27438963,0.03377103,22.4356436,27.4785992,0,S2016ND059020,EXACT,Designation and top/bottom depths agree,1306.0,S2016ND059020,1.0,A,0.0,14.0,14.0,silty clay loam,"brown (10YR 4/3), dark brown (10YR 3/3), moist",dark brown,10YR 3/3,10YR,3.0,3.0,moist,10YR 4/3,10YR 3/3,,,,,,,,,,,,,,,"A—0 to 14 centimeters (0.0 to 5.5 inches); brown (10YR 4/3), dark brown (10YR 3/3), moist; silty clay loam; 4 percent sand; 64 percent silt; 32 percent clay; moderate medium granular structure; moderately hard, friable, moderately sticky, moderately plastic; common (5.0) very fine roots throughout and common (5.0) fine roots throughout; common (4.0) very fine tubular and common (4.0) fine tubular pores; carbonate, finely disseminated throughout; fragments; 32 percent of Clay; 4 percent of Sand; slight effervescence, by hcl, 1n; neutral, pH 7.2, pH meter; clear wavy boundary.; moist when described; observed in pit, small",1.4022013,,0.2618772,,0.048968,,,422.1777917,,,well,none flooding,none ponding,"Fine-silty, mixed, superactive, frigid Typic Calciustolls",Chama,no,NASIS,NONHYDRIC_REFERENCE,14.0,EXISTING_PROCESSED_MATRIX,
S2016ND059023,175327,16N04121,4966,29291,35457,58,horizon,0.0,13.0,Ap,A,Silt loam,SIL,247323,bulk,normal,submitted,1,S2016ND059023,WGS84,46.799135,-100.902753,standardized,16N0929,,not started,C2016USND122,Site_C NEON_10_NOGP,2016,NEON,characterization,completed,Janesburg,mollisols,ustolls,natrustolls,United States,Morton,North Dakota,4,4,4.0,0.0,2016-12-13 08:58:08,2016-12-13 08:58:08,13.0,6.5,True,0-10,0.0992292,0.12111124,1.29273909,1.15442706,,24.9777496,28.9272908,3.03,0.768325,0.11732313,5.69,6.23,26.5,44.6,3.02563438,0.27881272,0.02788127,14.6153846,24.7643447,0,S2016ND059023,EXACT,Designation and top/bottom depths agree,1321.0,S2016ND059023,1.0,Ap,0.0,13.0,13.0,silt loam,"very dark grayish brown (10YR 3/2), black (10YR 2/1), moist",black,10YR 2/1,10YR,2.0,1.0,moist,10YR 3/2,10YR 2/1,,,,,,,,,,,,,,,"Ap—0 to 13 centimeters (0.0 to 5.1 inches); very dark grayish brown (10YR 3/2), black (10YR 2/1), moist; silt loam; 5 percent sand; 75 percent silt; 20 percent clay; weak fine granular structure; slightly hard, friable, slightly sticky, slightly plastic; common (6.0) very fine roots throughout and common (2.0) fine roots throughout; common (6.0) very fine tubular and common (2.0) fine tubular pores; fragments; 20 percent of Clay; 5 percent of Sand; noneffervescent, by hcl, 1n; neutral, pH 7.2, pH meter; abrupt smooth boundary.; moist when described; observed in pit, small",0.768325,,0.11732313,,0.0281753,,,291.1431959,,,well,none flooding,none ponding,"Fine, smectitic, frigid Typic Natrustolls",Janesburg,no,NASIS,NONHYDRIC_REFERENCE,13.0,EXISTING_PROCESSED_MATRIX,
S2016ND059024,175334,16N04128,4966,29292,35458,65,horizon,0.0,32.0,A,A,Silt loam,SIL,247330,bulk,normal,submitted,1,S2016ND059024,WGS84,46.766155,-100.92129,standardized,16N0930,,not started,C2016USND122,Site_C NEON_10_NOGP,2016,NEON,characterization,completed,Wilton,mollisols,ustolls,haplustolls,United States,Morton,North Dakota,8,8,8.0,0.0,2016-12-13 08:58:13,2020-01-27 12:06:45,32.0,16.0,True,10-30,0.0931954,0.10733123,1.09408129,0.98854208,,24.9419147,25.3542571,2.84,0.7511428,0.12411163,6.09,6.8,16.4,58.2,2.84132438,0.26863431,0.0464944,13.4104938,27.3498944,0,S2016ND059024,EXACT,Designation and top/bottom depths agree,1328.0,S2016ND059024,1.0,A,0.0,32.0,32.0,silt loam,"very dark grayish brown (10YR 3/2), very dark brown (10YR 2/2), moist",very dark brown,10YR 2/2,10YR,2.0,2.0,moist,10YR 3/2,10YR 2/2,,,,,,,,,,,,,,,"A—0 to 32 centimeters (0.0 to 12.6 inches); very dark grayish brown (10YR 3/2), very dark brown (10YR 2/2), moist; silt loam; 10 percent sand; 68 percent silt; 22 percent clay; moderate medium granular structure; slightly hard, friable, slightly sticky, slightly plastic; 5.0 very fine roots throughout and 2.0 fine roots throughout; 4.0 very fine tubular and 1.0 fine tubular pores; 1 percent by volume nonflat subrounded indurated 5-12-20 millimeter granite fragments observed by visual inspection method; noneffervescent, by hcl, 1n; neutral, pH 7.2, pH meter; clear wavy boundary.; moist when described; observed in pit, small",0.7511428,,0.12411163,,0.0411217,,,446.4219509,,,well,none flooding,none ponding,"Fine-silty, mixed, superactive, frigid Pachic Haplustolls",Wilton,no,NASIS,NONHYDRIC_REFERENCE,30.0,EXISTING_PROCESSED_MATRIX,
S2016ND059029,175350,16N04144,4966,29295,35461,81,horizon,0.0,20.0,A,A,Loam,L,247339,bulk,normal,submitted,1,S2016ND059029,WGS84,46.790985,-100.921822,standardized,16N0933,,not started,C2016USND122,Site_C NEON_10_NOGP,2016,NEON,characterization,completed,Amor,mollisols,ustolls,haplustolls,United States,Morton,North Dakota,4,4,4.0,0.0,2016-12-13 09:09:02,2016-12-13 09:09:03,20.0,10.0,True,10-30,0.0758627,0.12922003,1.19544391,1.06759458,,27.1685491,23.3923245,2.62,0.4103639,0.07947188,6.53,7.1,55.5,21.1,2.62101784,0.26002161,0.03016251,16.6,24.7866314,0,S2016ND059029,EXACT,Designation and top/bottom depths agree,1341.0,S2016ND059029,1.0,A,0.0,20.0,20.0,loam,"dark grayish brown (10YR 4/2), very dark grayish brown (10YR 3/2), moist",very dark grayish brown,10YR 3/2,10YR,3.0,2.0,moist,10YR 4/2,10YR 3/2,,,,,,,,,,,,,,,"A—0 to 20 centimeters (0.0 to 7.9 inches); dark grayish brown (10YR 4/2), very dark grayish brown (10YR 3/2), moist; loam; 40 percent sand; 38 percent silt; 22 percent clay; moderate medium subangular blocky parts to moderate medium granular structure; soft, very friable, slightly sticky, slightly plastic; common (5.0) very fine roots throughout and common (10.0) fine roots throughout; few (1.0) very fine tubular and common (3.0) fine tubular pores; fragments; 40 Percent of Sand; 22 percent of Clay; noneffervescent, by hcl, 1n; slightly alkaline, pH 7.4, pH meter; clear wavy boundary.; moist when described; observed in pit, small",0.4103639,,0.07947188,,0.0145916,,,149.1401505,,,well,none flooding,none ponding,"Fine-loamy, mixed, superactive, frigid Typic Haplustolls",Amor,no,NASIS,NONHYDRIC_REFERENCE,20.0,EXISTING_PROCESSED_MATRIX,
S2017ND093001,184891,17N03470,5097,31135,37473,1,horizon,0.0,15.0,A,A,Loam,L,269127,bulk,normal,submitted,1,S2017ND093001,WGS84,47.2077,-99.166983,standardized,17N0679,,not started,C2017USND099,Site_C NEON_10_DCFS,2017,NEON,characterization,completed,Zahl,mollisols,ustolls,calciustolls,United States,Stutsman,North Dakota,4,4,0.0,4.0,2018-06-20 12:47:04,2018-06-20 12:49:40,15.0,7.5,True,0-10,0.0854631,0.09900066,1.20300601,1.07725385,0.813531,28.5712545,24.4739758,4.3928,0.7140044,0.14179515,6.95,7.29,45.7,29.8,4.48718135,0.48150119,0.052248,20.2830189,30.5381072,0,S2017ND093001,EXACT,Designation and top/bottom depths agree,2436.0,S2017ND093001,1.0,A,0.0,15.0,15.0,loam,"dark gray (10YR 4/1), black (10YR 2/1), moist",black,10YR 2/1,10YR,2.0,1.0,moist,10YR 4/1,10YR 2/1,,,,,,,,,,,,,,,"A—0 to 15 centimeters (0.0 to 5.9 inches); dark gray (10YR 4/1), black (10YR 2/1), moist; loam; 35 percent sand; 22 percent clay; moderate medium granular structure; slightly hard, friable, slightly sticky, slightly plastic; 8.0 very fine roots throughout and 1.0 fine roots throughout; 5.0 very fine dendritic tubular and 1.0 fine dendritic tubular pores; 2 percent by volume nonflat subrounded indurated 2-40-75 millimeter mixed fragments observed by visual inspection method; noneffervescent; clear smooth boundary.; moist when described; observed in pit, small",0.7140044,,0.14179515,,0.0656938,,,641.9174051,,,well,,,"Fine-loamy, mixed, superactive, frigid Typic Calciustolls",Zahl,no,NASIS,NONHYDRIC_REFERENCE,15.0,EXISTING_PROCESSED_MATRIX,
S2017ND093004,184894,17N03473,5097,31136,37474,4,horizon,0.0,11.0,A,A,Very gravelly Loam,GRV-L,269130,bulk,normal,submitted,1,S2017ND093004,WGS84,47.171435,-99.051345,standardized,17N0680,,not started,C2017USND099,Site_C NEON_10_DCFS,2017,NEON,characterization,completed,Sioux,mollisols,udolls,hapludolls,United States,Stutsman,North Dakota,4,4,0.0,4.0,2018-06-20 12:57:23,2018-06-20 12:59:59,11.0,5.5,True,0-10,0.0488077,0.07925941,1.13555491,1.02773101,6.380141,23.7323698,13.1529925,4.5344,1.1485728,0.13043719,7.18,7.36,68.7,18.1,5.30443364,0.53960649,0.08246816,13.0090189,29.5711002,0,S2017ND093004,EXACT,Designation and top/bottom depths agree,2439.0,S2017ND093004,1.0,A,0.0,11.0,11.0,very gravelly loam,"very dark grayish brown (10YR 3/2), dark grayish brown (10YR 4/2), dry",dark grayish brown,10YR 4/2,10YR,4.0,2.0,,,,,,,,,,,,,,,,,,"A—0 to 11 centimeters (0.0 to 4.3 inches); very dark grayish brown (10YR 3/2), dark grayish brown (10YR 4/2), dry; very gravelly loam; 48 percent sand; 22 percent clay; moderate medium granular structure; soft, very friable, slightly sticky, slightly plastic; 5.0 very fine roots throughout and 2.0 fine roots throughout; 4.0 very fine dendritic tubular and 1.0 fine dendritic tubular pores; 40 percent by volume nonflat subrounded indurated 2-40-75 millimeter mixed fragments observed by visual inspection method; noneffervescent; clear wavy boundary.; moist when described; observed in pit, small",1.1485728,,0.13043719,,0.334614,,,1181.2603214,,,excessively,,,"Sandy or sandy-skeletal, mixed, superactive, frigid Entic Hapludolls",Sioux,no,NASIS,NONHYDRIC_REFERENCE,11.0,EXISTING_PROCESSED_MATRIX,
S2017ND093011,184906,17N03485,5097,31139,37477,16,horizon,0.0,25.0,A,A,Silt loam,SIL,269142,bulk,normal,submitted,1,S2017ND093011,WGS84,47.201977,-99.173992,standardized,17N0683,,not started,C2017USND099,Site_C NEON_10_DCFS,2017,NEON,characterization,completed,Bowbells,mollisols,ustolls,argiustolls,United States,Stutsman,North Dakota,4,4,0.0,4.0,2018-06-20 14:02:09,2018-06-20 14:04:35,25.0,12.5,True,10-30,0.1052025,0.08434678,1.13881124,1.01704504,,32.7458531,25.1932256,5.01,0.6317655,0.29901962,5.74,6.22,32.6,42.2,5.01292455,0.46225739,0.02978992,20.1544444,34.1612119,0,S2017ND093011,EXACT,Designation and top/bottom depths agree,2451.0,S2017ND093011,1.0,A,0.0,25.0,25.0,loam,"very dark gray (10YR 3/1), black (10YR 2/1), moist",black,10YR 2/1,10YR,2.0,1.0,moist,10YR 3/1,10YR 2/1,,,,,,,,,,,,,,,"A—0 to 25 centimeters (0.0 to 9.8 inches); very dark gray (10YR 3/1), black (10YR 2/1), moist; loam; 30 percent sand; 20 percent clay; moderate medium subangular blocky parts to moderate medium granular structure; soft, very friable, slightly sticky, slightly plastic; 2.0 fine roots throughout; 10.0 fine dendritic tubular pores; 1 percent by volume nonflat subrounded indurated 20-50-75 millimeter mixed fragments observed by visual inspection method; noneffervescent; clear wavy boundary.; moist when described; observed in pit, small",0.6317655,,0.29901962,,0.0833771,,,789.9795851,,,moderately well,,,"Fine-loamy, mixed, superactive, frigid Pachic Argiustolls",Bowbells,no,NASIS,NONHYDRIC_REFERENCE,25.0,EXISTING_PROCESSED_MATRIX,
S2017ND093016,184914,17N03493,5097,31141,37479,24,horizon,0.0,18.0,A,A,Loam,L,269150,bulk,normal,submitted,1,S2017ND093016,WGS84,47.15684333,-99.11399,standardized,17N0685,,not started,C2017USND099,Site_C NEON_10_DCFS,2017,NEON,characterization,completed,Bowbells,mollisols,ustolls,argiustolls,United States,Stutsman,North Dakota,4,4,0.0,4.0,2018-06-20 14:28:58,2018-06-20 14:31:33,18.0,9.0,True,0-10,0.1211993,0.10838257,1.24637091,1.10867321,4.747571,29.9097969,28.7454484,5.01,0.6950773,0.15165396,5.57,6.14,32.9,38.4,5.01382172,0.48190107,0.06767121,20.1555772,27.9664332,0,S2017ND093016,EXACT,Designation and top/bottom depths agree,2459.0,S2017ND093016,1.0,A,0.0,18.0,18.0,loam,"very dark gray (10YR 3/1), black (10YR 2/1), moist",black,10YR 2/1,10YR,2.0,1.0,moist,10YR 3/1,10YR 2/1,,,,,,,,,,,,,,,"A—0 to 18 centimeters (0.0 to 7.1 inches); very dark gray (10YR 3/1), black (10YR 2/1), moist; loam; 45 percent sand; 18 percent clay; moderate medium subangular blocky parts to moderate medium granular structure; slightly hard, friable, slightly sticky, slightly plastic; 7.0 very fine roots throughout and 1.0 medium roots throughout and 2.0 fine roots throughout; fragments; noneffervescent; clear wavy boundary.; moist when described; observed in pit, small",0.6950773,,0.15165396,,0.0702078,,,664.3790602,,,well,,,"Fine-loamy, mixed, superactive, frigid Pachic Argiustolls",Bowbells,no,NASIS,NONHYDRIC_REFERENCE,18.0,EXISTING_PROCESSED_MATRIX,
S2017ND093027,184930,17N03509,5097,31145,37483,40,horizon,0.0,12.0,A,A,Silt loam,SIL,269166,bulk,normal,submitted,1,S2017ND093027,WGS84,47.205558,-99.17562,standardized,17N0689,,not started,C2017USND099,Site_C NEON_10_DCFS,2017,NEON,characterization,completed,Bowbells,mollisols,ustolls,argiustolls,United States,Stutsman,North Dakota,4,4,0.0,4.0,2018-06-20 15:42:16,2018-06-20 15:44:42,12.0,6.0,True,0-10,0.1342656,0.13217449,1.22957812,1.1253431,,26.8873901,24.724237,4.89,0.7850264,0.18488148,5.41,5.75,39.8,35.5,4.88642762,0.50090994,0.03782381,15.4275508,24.6360663,0,S2017ND093027,EXACT,Designation and top/bottom depths agree,2475.0,S2017ND093027,1.0,A,0.0,12.0,12.0,silt loam,"very dark brown (10YR 2/2), black (10YR 2/1), moist",black,10YR 2/1,10YR,2.0,1.0,moist,10YR 2/2,10YR 2/1,,,,,,,,,,,,,,,"A—0 to 12 centimeters (0.0 to 4.7 inches); very dark brown (10YR 2/2), black (10YR 2/1), moist; silt loam; 25 percent sand; 18 percent clay; moderate medium subangular blocky parts to moderate fine granular, and moderate fine subangular blocky structure; soft, friable, slightly sticky, slightly plastic; many (25.0) very fine roots throughout and many (25.0) fine roots throughout; common (6.0) very fine dendritic tubular pores; 5 percent by volume nonflat subrounded indurated 2-45-75 millimeter mixed fragments; noneffervescent, by hcl, 1n; clear wavy boundary.; moist when described; observed in pit, small",0.7850264,,0.18488148,,0.0761608,,,668.5037721,,,well,,,"Fine-loamy, superactive, frigid Pachic Argiustolls",Bowbells,no,NASIS,NONHYDRIC_REFERENCE,12.0,EXISTING_PROCESSED_MATRIX,
S2017ND093063,184944,17N03523,5097,31148,37486,54,horizon,0.0,27.0,A1,A,Silty clay loam,SICL,269180,bulk,normal,submitted,1,S2017ND093063,WGS84,47.164857,-99.110863,standardized,17N0692,,not started,C2017USND099,Site_C NEON_10_DCFS,2017,NEON,characterization,completed,Parnell,mollisols,aquolls,argiaquolls,United States,Stutsman,North Dakota,4,4,0.0,4.0,2018-06-20 16:30:19,2018-06-20 16:33:00,27.0,13.5,True,10-30,0.0556361,0.08098214,,,,29.6625268,25.7993463,5.2,0.3051432,0.24122556,6.36,6.56,34.5,39.7,5.197398,0.51256391,0.04818101,17.2063799,,0,S2017ND093063,EXACT,Designation and top/bottom depths agree,2489.0,S2017ND093063,1.0,A1,0.0,27.0,27.0,silty clay loam,"black (10YR 2/1), black (10YR 2/1), dry",black,10YR 2/1,10YR,2.0,1.0,,,,30 percent fine distinct brown (7.5YR 4/4) masses of oxidized iron,concentration,1.0,,30.0,30.0,,fine,distinct,,,,30 percent fine distinct brown (7.5YR 4/4) masses of oxidized iron,,"A1—0 to 27 centimeters (0.0 to 10.6 inches); black (10YR 2/1), black (10YR 2/1), dry; silty clay loam; 15 percent sand; 32 percent clay; slightly hard, friable, moderately sticky, moderately plastic; common (5.0) very fine roots throughout and common (3.0) fine roots throughout; fragments; noneffervescent, by hcl, 1n; gradual wavy boundary.; moist when described; observed in auger, bucket",0.3051432,,0.24122556,,0.0131392,,,124.5100461,,,very poorly,,,"Fine, smectitic, frigid Vertic Argiaquolls",Parnell,no,NASIS,HYDRIC_REFERENCE,27.0,EXISTING_PROCESSED_MATRIX,
