excluded_hydric_pedon,remaining_hydric_n,strongest_wavenumber_cm1,strongest_standardized_difference,max_absolute_standardized_difference
S2015ND093026,4,1268.0,-1.0036223679991259,1.0036223679991259
S2015ND093028,4,1268.0,-1.2440059741283571,1.2440059741283571
S2015ND093030,4,700.0,-1.6262104463963456,1.6262104463963456
S2015ND093031,4,1264.0,-1.2576004054858965,1.2576004054858965
S2017ND093063,4,1266.0,-1.3314825899182188,1.3314825899182188
