wavenumber_cm1,full_snv_standardized_difference,same_direction_all_hydric_LOO,minimum_absolute_LOO_difference,median_absolute_LOO_difference
1074.0,0.6200404920500436,True,0.5032480404099424,0.6002747402121906
4000.0,-0.6705801319482237,True,0.48803748091412996,0.7189686402624679
3980.0,-0.6536822781310025,True,0.46321672308115475,0.6968860225415561
1268.0,-1.0315838381990443,True,0.45804423735751437,1.2440059741283571
3960.0,-0.6346557489546997,True,0.4396620451865012,0.67277809325954
3938.0,-0.6188409321631272,True,0.4228587351714403,0.6584549666215791
3918.0,-0.6107832780889608,True,0.4141400916354352,0.6335636293723285
1094.0,0.49353796321938453,True,0.3963748398185144,0.5140535076422176
3896.0,-0.5918962249588533,True,0.39509609874575075,0.6221133949078596
3876.0,-0.5752955677523669,True,0.37689582306784475,0.5995357769204952
3856.0,-0.5554022237963052,True,0.3491746308165274,0.5914479378383364
3104.0,0.37180574775652203,True,0.33317823929776885,0.3446688500279465
984.0,0.41152091400706203,True,0.3255685265403235,0.3833421361891567
3832.0,-0.5348074608304213,True,0.3228092585462939,0.5600496518929028
1004.0,0.40943648796973353,True,0.31610911114685875,0.3960090032797629
3124.0,0.40000309734240075,True,0.31492060888681667,0.38236953189255307
3812.0,-0.5118179932919643,True,0.29621107225904764,0.548659047883324
3144.0,0.4250564753493568,True,0.29577527739636145,0.4274861124576158
3330.0,0.5277718209398902,True,0.2948377723525071,0.5809668919723429
1288.0,-0.8909616327278488,True,0.2905049224549525,1.109551543726721
