wavenumber_cm1,hydric_mean_absorbance,nonhydric_mean_absorbance,hydric_median_absorbance,nonhydric_median_absorbance,mean_difference_hydric_minus_nonhydric,median_difference_hydric_minus_nonhydric,hydric_sd,nonhydric_sd,standardized_mean_difference,abs_standardized_difference
1816.0,0.7709402452897574,0.8786668809064382,0.778241278830548,0.8673782963790699,-0.10772663561668083,-0.08913701754852199,0.040934311758917694,0.03973835839706743,-2.697200165397648,2.697200165397648
1836.0,0.7303831936832061,0.830419696474707,0.7377798291491877,0.8193116080549232,-0.10003650279150089,-0.08153177890573549,0.04048464692873061,0.03908864192074796,-2.543855971341893,2.543855971341893
1856.0,0.7701313812088091,0.9025118779888688,0.7833011820848741,0.8932596328966409,-0.1323804967800597,-0.1099584508117668,0.08760035912840686,0.04285984786485712,-2.4974003077118447,2.4974003077118447
1908.0,0.698092460873291,0.8087874682567439,0.7091399391499139,0.8002151448268355,-0.11069500738345284,-0.09107520567692162,0.06119552518877965,0.04074505101318216,-2.4705170179734437,2.4705170179734437
1796.0,0.8426277450823431,0.9455974196594779,0.8485838969593104,0.9338634596722338,-0.1029696745771348,-0.08527956271292347,0.0358016966390469,0.04336470350519715,-2.440129999729156,2.440129999729156
1928.0,0.6514368545859237,0.7393560048390663,0.6572861913860959,0.7319612071106709,-0.08791915025314256,-0.07467501572457502,0.03183522447663537,0.03756631893748732,-2.397355730219169,2.397355730219169
1888.0,0.767893898258889,0.9087301365715953,0.783586072810097,0.9010695467809345,-0.1408362383127063,-0.11748347397083758,0.10369736042796167,0.044682961959447626,-2.395674334050335,2.395674334050335
1948.0,0.6474586724786103,0.73354008490245,0.6522213851763028,0.7254895175654653,-0.08608141242383971,-0.07326813238916252,0.030026762776364232,0.037583175223230354,-2.362746638318268,2.362746638318268
1972.0,0.651741980803833,0.7394690165399713,0.656488618130059,0.7303551498955152,-0.08772703573613827,-0.07386653176545621,0.034343408412239505,0.038101749864663616,-2.339292467449251,2.339292467449251
1992.0,0.6499938078717508,0.7357268015973147,0.6540229685288124,0.726356618983049,-0.08573299372556398,-0.07233365045423668,0.033365099074003604,0.038427058943181096,-2.2782717367301277,2.2782717367301277
2012.0,0.6281951418906304,0.6956982809218645,0.6286810309448745,0.6870349623478746,-0.06750313903123406,-0.05835393140300016,0.013710246438311122,0.0362410873363533,-2.011801911257249,2.011801911257249
1222.0,1.2498154932921013,1.032432730595771,1.1914268458226818,1.0534865207271418,0.21738276269633028,0.13794032509554,0.2214435089216011,0.08906106239385846,1.7879166258144568,1.7879166258144568
1202.0,1.226628031718788,1.0234405664290374,1.1660761527033823,1.0319522968185284,0.20318746528975073,0.13412385588485387,0.22160889155903604,0.0855358096717111,1.7002056273974613,1.7002056273974613
1064.0,1.2101339811758818,1.0249800949170278,1.1751950134883922,1.0326830032771412,0.18515388625885398,0.14251201021125093,0.21261906122176374,0.07457532377121655,1.6784353351832597,1.6784353351832597
1736.0,1.1705448086670538,1.058579148930878,1.154180167551633,1.0517416544832539,0.11196565973617578,0.10243851306837914,0.13287336298613267,0.045996318511305145,1.6322138321327628,1.6322138321327628
1182.0,1.239606423475896,1.038659476368738,1.1814429087935765,1.0544808805502695,0.20094694710715788,0.12696202824330705,0.2344519282684273,0.08821818263167756,1.606462616084113,1.606462616084113
1084.0,1.159250444835002,0.9650519494907986,1.1157126844947653,0.9644110252669158,0.19419849534420341,0.15130165922784955,0.2424239952037618,0.08121107642356849,1.5704672758911837,1.5704672758911837
1044.0,1.2667489998541612,1.1156853872504535,1.246738798807363,1.1354338738008813,0.1510636126037077,0.1113049250064817,0.16747933907458296,0.07646357072152479,1.5460505376634375,1.5460505376634375
1162.0,1.2904387224495857,1.1099648715191717,1.245607197441289,1.1257009149356239,0.18047385093041401,0.11990628250566515,0.22402387484130984,0.08079951512922222,1.536021795839191,1.536021795839191
1716.0,1.2855079469156232,1.1774960522712477,1.2608601872883725,1.1717920302526292,0.10801189464437555,0.08906815703574322,0.13247358726916222,0.05086237657066431,1.515340068021014,1.515340068021014
