wavenumber_cm1,hydric_mean_absorbance,nonhydric_mean_absorbance,hydric_median_absorbance,nonhydric_median_absorbance,mean_difference_hydric_minus_nonhydric,median_difference_hydric_minus_nonhydric,hydric_sd,nonhydric_sd,standardized_mean_difference
4000.0,0.2215350127365829,0.24289054548224015,0.23418548911070786,0.23617115348716622,-0.02135553274565724,-0.0019856643764583626,0.07649395659889605,0.0260607239641779,-0.543979464495619
3998.0,0.22178949981786458,0.24318469096851325,0.23445158292541912,0.23641715623719867,-0.021395191150648668,-0.001965573311779545,0.07645416537126334,0.026091498448692043,-0.5449325409273927
3996.0,0.2219997850639872,0.24344303461529238,0.2346664083670813,0.236619663457799,-0.021443249551305166,-0.001953255090717698,0.07640948611835471,0.026123338670887685,-0.5461128066039526
3994.0,0.22221742090720298,0.2437111122633212,0.23489096431960427,0.2368386145651306,-0.021493691356118227,-0.0019476502455263445,0.07635069733607867,0.02615554225017799,-0.5474141003721258
3992.0,0.22244782094077808,0.24399822574325516,0.2351316674790382,0.2370930666745311,-0.02155040480247708,-0.001961399195492902,0.0762837276144182,0.026188976905312276,-0.548902167349192
3990.0,0.22267895599128346,0.24428887879600059,0.23537758582402996,0.23736085741712515,-0.02160992280471713,-0.0019832715930951927,0.07622874863359164,0.02623017704078679,-0.5503463260173419
3988.0,0.2228793135341533,0.24454341055886405,0.23560517772140152,0.23760680094347447,-0.021664097024710754,-0.0020016232220729513,0.07617179050387078,0.0262794096629689,-0.5515994404342907
3986.0,0.22295255246278212,0.24468223644646644,0.2357114226138314,0.2377352651269633,-0.021729683983684328,-0.002023842513131896,0.07609070405961416,0.026318208985740946,-0.5533334346247235
3984.0,0.22301041645060926,0.24481329044594244,0.23578319581280788,0.23784093725693545,-0.021802873995333177,-0.00205774144412757,0.07601127471628365,0.026346331107602664,-0.5553375166003252
3982.0,0.2232637020095825,0.2451240473636383,0.23602795565618015,0.23811853412738332,-0.021860345354055788,-0.0020905784712031694,0.07595648837269033,0.026375443838389585,-0.5568209698421819
3980.0,0.22358745836163668,0.2454964782121301,0.23633650591648475,0.23845386016276815,-0.021909019850493427,-0.0021173542462833983,0.07589269258242756,0.026408008365630974,-0.5580937756777822
3978.0,0.22372624859347373,0.2457162744132776,0.23646816629159298,0.23863273931040024,-0.02199002581980386,-0.0021645730188072643,0.07578694748683831,0.026436610628845295,-0.5604143557981159
3976.0,0.22374469924319806,0.24584758606871365,0.23647986656797212,0.23871953298790258,-0.02210288682551559,-0.002239666419930453,0.07566630490797102,0.02646079794830197,-0.5636529806716675
3974.0,0.2238187290382212,0.2460355797529569,0.2365523210535595,0.23886858463917737,-0.022216850714735698,-0.0023162635856178726,0.07555396597991029,0.026488089764018074,-0.5668591955523904
3972.0,0.2239698808989842,0.24628348057729801,0.2367091862953783,0.23908873854037574,-0.02231359967831381,-0.002379552244997446,0.07543920448740969,0.026518278803705723,-0.5696160292576081
3970.0,0.22412479382398845,0.2465309519185148,0.2368663030720608,0.23931585735230826,-0.02240615809452634,-0.002449554280247457,0.07531378600688023,0.026548804398999357,-0.5723148374917989
3968.0,0.2242640852912352,0.24676787034339337,0.23700454820690586,0.23953533656812775,-0.022503785052158165,-0.0025307883612218918,0.07518208324672104,0.026581940578561825,-0.5751531410584477
3966.0,0.22434263964148488,0.24696645518674393,0.23707252765736242,0.2397191176737481,-0.02262381554525905,-0.002646590016385675,0.07503942625099459,0.026611324750860726,-0.5786498979880131
3964.0,0.2242707372536946,0.24705764807573893,0.23697065061576356,0.23978940751231528,-0.022786910822044343,-0.0028187568965517273,0.07487668613849205,0.02662824521054669,-0.5834544801595563
3962.0,0.22412942048200424,0.24709415551951375,0.23679483379007626,0.23979703852974577,-0.02296473503750951,-0.0030022047396695006,0.0746999801864088,0.02664730723574653,-0.5886948179970265
3960.0,0.22409813071684875,0.24721468216638104,0.23675200590741036,0.23989102248627178,-0.023116551449532285,-0.0031390165788614255,0.07452407535057046,0.026679091011837158,-0.5931642400908521
3958.0,0.22415653578410275,0.24740751203730468,0.23680971599187972,0.2400623104689631,-0.023250976253201938,-0.0032525944770833704,0.07435589422873841,0.026713959421751733,-0.5971291408462768
3956.0,0.22418462146294288,0.24757088754806172,0.23682616420837846,0.24020800797636516,-0.023386266085118845,-0.0033818437679866975,0.07419230122997456,0.026743166062531406,-0.6011488986344251
