wavenumber_cm1,mean_delta,median_delta,hydric_lower_count,hydric_higher_count,269180_minus_269142,242130_minus_247323,242114_minus_269150,242107_minus_247270,242125_minus_247310
4000.0,-0.04627171727483485,-0.05966061949894064,4,1,-0.08159922118803631,-0.05966061949894064,-0.07034457322416876,0.019399158006728534,-0.03915333046975711
3998.0,-0.04623028958467694,-0.05956037313928442,4,1,-0.08166240768692878,-0.05956037313928442,-0.07032733037945227,0.019003592479876596,-0.03860492919759584
3996.0,-0.046201491839740115,-0.05943086161914257,4,1,-0.08169789919924919,-0.05943086161914257,-0.07037173949429043,0.018472725961550474,-0.03797968484756886
3994.0,-0.04614856795669651,-0.0593065920069622,4,1,-0.08171312645212492,-0.0593065920069622,-0.07036365615976647,0.01804974863297537,-0.03740921379760431
3992.0,-0.046122234456752856,-0.05923546064730889,4,1,-0.08175625837100076,-0.05923546064730889,-0.0703450804536947,0.01770757161119585,-0.03698194442295577
3990.0,-0.04606753660813769,-0.059215109647452246,4,1,-0.08178476176715965,-0.059215109647452246,-0.07027763712813528,0.017487327550678833,-0.03654750204862012
3988.0,-0.046000086054581855,-0.05918814426166308,4,1,-0.08176716596531963,-0.05918814426166308,-0.07026971495205947,0.01733929351360608,-0.036114698607473184
3986.0,-0.04595743482392831,-0.05910035393546287,4,1,-0.08173812061411034,-0.05910035393546287,-0.07043444409720245,0.017038476858947327,-0.03555273233181322
3984.0,-0.04595068842250667,-0.059002347910895425,4,1,-0.08175436021498195,-0.059002347910895425,-0.07058871151692592,0.016546257947158916,-0.03495428041688897
3982.0,-0.045889945532575104,-0.05899696058575388,4,1,-0.08174223005278236,-0.05899696058575388,-0.07040384021176971,0.01628043401523316,-0.03458713082780274
3980.0,-0.045790630931977286,-0.05894675685889439,4,1,-0.08169486159724237,-0.05894675685889439,-0.07013068894153629,0.016160716276887754,-0.034341563539101116
3978.0,-0.04575104179893432,-0.05878907284198864,4,1,-0.08170181132927112,-0.05878907284198864,-0.07013782344183994,0.01576355098752691,-0.03389005236909881
3976.0,-0.04575371252885909,-0.05861950808025229,4,1,-0.08175013806405462,-0.05861950808025229,-0.07022808332639907,0.015096582526966218,-0.03326741570055569
3974.0,-0.04569769422367433,-0.05852799358694227,4,1,-0.08178271377740809,-0.05852799358694227,-0.07007881913041225,0.014674020201949745,-0.032772964825558804
3972.0,-0.04558259658085637,-0.0584759635380121,4,1,-0.08175321040077432,-0.0584759635380121,-0.06980166211076533,0.01464297340554821,-0.03252512026027832
3970.0,-0.045478652967166286,-0.05842619591076037,4,1,-0.08169437448809069,-0.05842619591076037,-0.06956174303891705,0.014723381654585754,-0.03243433305264909
3968.0,-0.04539014916407909,-0.05838648251577272,4,1,-0.08162147182524859,-0.05838648251577272,-0.06935142349905421,0.01477033784070425,-0.032361705821024156
3966.0,-0.045357983124415927,-0.05837937719236752,4,1,-0.08161214988746623,-0.05837937719236752,-0.06923847346032952,0.014595934057085813,-0.03215584913900216
3964.0,-0.045417879924346274,-0.05836516160141225,4,1,-0.08173276232285631,-0.05836516160141225,-0.06926576073132629,0.013982481794098778,-0.031708196760235285
3962.0,-0.04544922501411484,-0.05827837827028137,4,1,-0.08185982841826722,-0.05827837827028137,-0.06924648420753043,0.013357567988514285,-0.031219002163009435
